"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cadm1",4.99973961953983e-237,-0.639525052876534,0.786,0.968,1.25338472522244e-232
"Ctnna3",3.33670982587523e-215,-0.666074959364047,0.817,0.943,8.36479786248662e-211
"Rxfp1",6.49302181342726e-168,-0.877439750901306,0.088,0.349,1.62773563840808e-163
"Pcdh15",4.44705328435606e-164,0.736790194712428,0.903,0.636,1.11483178785522e-159
"Pard3b",8.41863300486048e-152,0.895546426988625,0.635,0.253,2.11046710798847e-147
"Gria4",7.28468044297092e-132,-0.276739937856674,0.973,0.985,1.82619654024838e-127
"Negr1",8.95506064591789e-131,-0.334619838627267,0.956,0.985,2.24494415332515e-126
"Cdh6",2.3057619272546e-127,-0.641328520731063,0.536,0.785,5.78031457543457e-123
"Lrrtm3",8.11129083697109e-127,-0.459722822169242,0.811,0.901,2.03341949992028e-122
"Fstl5",4.55338467000417e-126,-0.68022342785551,0.604,0.773,1.14148800292335e-121
"Xkr4",3.69986112899247e-125,-0.264302356168054,0.99,0.994,9.27518186427122e-121
"Enox1",1.58483054814443e-122,-0.342668609046949,0.931,0.961,3.97301170114327e-118
"Ryr3",5.78621460175915e-118,-0.674374239756333,0.589,0.772,1.450546138515e-113
"Adgrl3",8.29952284541793e-117,-0.331542177974781,0.93,0.939,2.08060738211782e-112
"Gabrg3",7.60393568698305e-116,0.731223334022882,0.788,0.538,1.90623063736978e-111
"Sst",3.14764718237892e-114,-0.543202264664666,0.047,0.216,7.89083672150572e-110
"Plppr1",4.70113387983735e-114,-0.592994918721154,0.569,0.749,1.17852725233642e-109
"Sema6d",5.43930075629905e-111,-0.382343201501856,0.878,0.952,1.36357830659661e-106
"Slc26a7",6.59942373810437e-111,-0.474774449546614,0.032,0.18,1.65440953690539e-106
"Park2",1.18022797876136e-108,-0.277673612376737,0.988,0.99,2.95871351995686e-104
"Grm8",2.80040707295154e-106,-0.991390961150751,0.425,0.63,7.02034049118221e-102
