,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Pard3b,8.42E-152,0.895546427,0.635,0.253,2.11E-147
Tenm2,3.94E-85,0.751764639,0.69,0.443,9.89E-81
Pcdh15,4.45E-164,0.736790195,0.903,0.636,1.11E-159
Gabrg3,7.60E-116,0.731223334,0.788,0.538,1.91E-111
Grik1,3.77E-84,0.718552635,0.541,0.267,9.45E-80
Gm30382,3.36E-61,0.621309503,0.335,0.122,8.42E-57
Opcml,1.68E-102,0.592563461,0.843,0.619,4.22E-98
Gm15398,5.45E-83,0.583614493,0.622,0.314,1.37E-78
D5Ertd615e,5.52E-61,0.568173358,0.306,0.095,1.38E-56
Unc13c,2.89E-36,0.523458765,0.388,0.222,7.24E-32
Hpgds,9.04E-58,0.517943257,0.337,0.126,2.27E-53
Sema3c,8.83E-73,0.509549566,0.676,0.416,2.21E-68
Gabrg1,3.16E-63,0.507737057,0.359,0.129,7.91E-59
Ankfn1,5.76E-48,0.501084802,0.436,0.231,1.44E-43
Grm1,1.18E-31,-0.5034509,0.557,0.606,2.95E-27
Nell1,4.77E-47,-0.510537333,0.467,0.589,1.20E-42
Gm2824,4.87E-45,-0.516711722,0.34,0.457,1.22E-40
Usp3,2.18E-33,-0.529234607,0.359,0.441,5.46E-29
St6gal2,7.80E-47,-0.53085017,0.161,0.293,1.96E-42
Arhgap6,1.11E-38,-0.532440508,0.177,0.301,2.77E-34
Frmd6,4.04E-40,-0.535826989,0.177,0.297,1.01E-35
Gm26905,1.44E-67,-0.538076094,0.468,0.65,3.60E-63
Zfhx4,3.06E-78,-0.540418413,0.087,0.248,7.67E-74
Sst,3.15E-114,-0.543202265,0.047,0.216,7.89E-110
Robo1,8.54E-62,-0.550850364,0.588,0.707,2.14E-57
Gm15261,7.41E-74,-0.575075577,0.092,0.251,1.86E-69
Cntnap4,5.00E-76,-0.578737119,0.457,0.62,1.25E-71
Penk,4.50E-83,-0.581741072,0.076,0.237,1.13E-78
Plppr1,4.70E-114,-0.592994919,0.569,0.749,1.18E-109
Zfp521,7.26E-60,-0.597028005,0.418,0.543,1.82E-55
Mgat4c,5.45E-63,-0.605380765,0.723,0.779,1.37E-58
Angpt1,2.29E-68,-0.614438328,0.29,0.479,5.75E-64
Adra1a,3.50E-81,-0.620345271,0.118,0.297,8.78E-77
A330015K06Rik,1.93E-103,-0.639170836,0.363,0.601,4.83E-99
Cadm1,5.00E-237,-0.639525053,0.786,0.968,1.25E-232
Chrm3,7.93E-53,-0.640740383,0.311,0.472,1.99E-48
Cdh6,2.31E-127,-0.641328521,0.536,0.785,5.78E-123
Zfhx3,2.21E-46,-0.643883462,0.213,0.35,5.53E-42
Cpa6,2.86E-82,-0.647039461,0.305,0.532,7.17E-78
Ctnna3,3.34E-215,-0.666074959,0.817,0.943,8.36E-211
Ryr3,5.79E-118,-0.67437424,0.589,0.772,1.45E-113
Fstl5,4.55E-126,-0.680223428,0.604,0.773,1.14E-121
Tmem132c,1.85E-66,-0.680391679,0.153,0.314,4.65E-62
Hs6st2,2.20E-71,-0.875865205,0.242,0.415,5.51E-67
Rxfp1,6.49E-168,-0.877439751,0.088,0.349,1.63E-163
Gpc5,6.76E-87,-0.903113709,0.48,0.64,1.69E-82
Grm8,2.80E-106,-0.991390961,0.425,0.63,7.02E-102
